id,ref,title,url,open_date,type,category,department,business_unit,industry,function,city,country,x,y,description
16204662,JREQ161172,Operations Management Trainee,Full_time,2022-10-07T22:03:41.25Z,Full_time,Production & Materials Management,Global Print-ALL,Global Print Prop Strategy & Ops,Television Broadcasting,Production General,Eagan,US,-93.1669,44.8041,
16836660,JREQ163386,Sr. DevOps Engineer,Full_time,2022-10-07T03:03:32.99Z,Full_time,Technology Development,Operations & Technology-ALL,Technology - CIO-ALL,Television Broadcasting,Computers General,Bengaluru,IN,77.5946,12.9716,
16836658,JREQ163377,Senior SCM Engineer,Full_time,2022-10-07T03:03:32.973Z,Full_time,Technology Development,Operations & Technology-ALL,Technology - CIO-ALL,Television Broadcasting,Computers General,Bengaluru,IN,77.5946,12.9716,
16835962,JREQ163387,Sr Lead Analyst / Assistant Manager - FP&A,Full_time,2022-10-07T02:03:43.79Z,Full_time,Accounting & Finance,Enabling Functions-ALL,Enabling Functions Finance-ALL,Television Broadcasting,Accounting General,Hyderabad,IN,78.4867,17.385,
16830117,JREQ163551,Account Executive,Full_time,2022-10-06T12:03:38.463Z,Full_time,Sales,Tax&Accounting Professionals-ALL,Tax&Acctg Confirmation,Television Broadcasting,Sales General,Carrollton,US,-96.8921,32.9614,
16828145,JREQ163263,Marketing Performance Analyst0,Full_time,2022-10-06T02:03:37.627Z,Full_time,Marketing,Enabling Functions-ALL,Commercial Excellence-ALL,Television Broadcasting,Marketing General,Hyderabad,IN,78.4867,17.385,
16828144,JREQ163257,Sr. Digital Analyst,Full_time,2022-10-06T02:03:37.617Z,Full_time,Marketing,Enabling Functions-ALL,Commercial Excellence-ALL,Television Broadcasting,Marketing General,Hyderabad,IN,78.4867,17.385,
16823015,JREQ163427,Sales Operations Specialist,Full_time,2022-10-05T16:03:36.897Z,Full_time,Business Operations,Enabling Functions-ALL,Commercial Excellence-ALL,Television Broadcasting,Operations General,Mexico City,MX,-99.1332,19.4326,
16813434,JREQ163455,"Sales Specialist, Legal Software",Full_time,2022-10-04T10:02:55.967Z,Full_time,Sales,Corporates-ALL,Corporates Europe,Television Broadcasting,Sales General,London,GB,-0.127758,51.5074,
16805313,JREQ163311,Strategic Partnerships Manager - ANZ,Full_time,2022-10-03T23:02:59.147Z,Full_time,Sales,Legal Professionals-ALL,Asia & Emerging Markets - Legal,Television Broadcasting,Sales General,Pyrmont,AU,151.196,-33.8737,
16803051,JREQ163335,Product Manager - Video,Full_time,2022-10-03T17:04:38.34Z,Full_time,Product Management,Reuters - ALL,Reuters Media,Television Broadcasting,Product Manager,New York,US,-74.0059,40.7128,
16180390,JREQ160409,Senior Marketing Manager - Reuters Events,Full_time,2022-10-03T14:03:20.55Z,Full_time,Marketing,Reuters - ALL,Reuters Marketing-ALL,Television Broadcasting,Marketing General,London,GB,-0.127758,51.5074,
16650233,JREQ162409,Analyst - Global Trade Content,Full_time,2022-10-03T07:03:50.667Z,Full_time,Publishing / Editorial,Product-ALL,Product - Content,Television Broadcasting,Publishing General,Manila,PH,121,14.6635,
16798737,JREQ163421,"Commodities Correspondent, Indonesia",Full_time,2022-10-03T05:04:24Z,Full_time,News & Editorial,Reuters - ALL,Reuters Editorial,Television Broadcasting,Editor,Jakarta,ID,106.846,-6.20876,
16776529,JREQ163006,Solution Consultant,Full_time,2022-09-28T11:04:06.357Z,Full_time,Sales,Corporates-ALL,Corporates Professional Services,Television Broadcasting,Sales General,Hyderabad,IN,78.4867,17.385,
16775898,JREQ163106,Solution Consultant,Full_time,2022-09-28T10:03:08.67Z,Full_time,Sales,Corporates-ALL,Corporates Professional Services,Television Broadcasting,Sales General,Hyderabad,IN,78.4867,17.385,
16770595,JREQ163219,"Sales Executive - Digital Marketing (San Jose, CA)",Full_time,2022-09-27T16:03:23.313Z,Full_time,Sales,Legal Professionals-ALL,Legal Small Law-ALL,Television Broadcasting,Sales General,Culver City,US,-118.396,34.0211,
16766044,JREQ163077,Sr site reliability engineer,Full_time,2022-09-27T06:02:53.353Z,Full_time,Technology Development,Reuters - ALL,Reuters Technology-ALL,Television Broadcasting,Computers General,Bengaluru,IN,77.5946,12.9716,
16732154,JREQ163155,"China Coal, Gas and Power Correspondent",Full_time,2022-09-21T04:02:52.257Z,Full_time,News & Editorial,Reuters - ALL,Reuters Editorial,Television Broadcasting,Editor,Shanghai,CN,121.474,31.2304,
16732139,JREQ163100,Sr Marketing Audience Activation Specialist,Full_time,2022-09-21T03:03:09.29Z,Full_time,Marketing,Enabling Functions-ALL,Marketing-ALL,Television Broadcasting,Marketing General,Hyderabad,IN,78.4867,17.385,
16163919,JREQ160672,Pasante | Asesor de Fidelización de clientes,Part_time,2022-09-16T16:02:43.607Z,Part_time,Graduates/Interns,Tax&Accounting Professionals-ALL,LatAm - Tax&Acctg,Television Broadcasting,Intern,Buenos Aires,AR,-58.3816,-34.6037,
16705335,JREQ162812,"Senior Business Development Manager, Tax Solutions Sales",Full_time,2022-09-16T11:02:38.663Z,Full_time,Sales,Legal Professionals-ALL,Asia & Emerging Markets - Legal,Television Broadcasting,Sales General,Tokyo,JP,139.732,35.709,
16353985,JREQ161884,Analyst,Full_time,2022-09-15T19:04:09.28Z,Full_time,Research,Government-ALL,Government TRSS,Television Broadcasting,Research General,McLean,US,-77.2351,38.9528,
16699864,JREQ162709,Senior Software Engineer,Full_time,2022-09-15T18:02:58.88Z,Full_time,Technology Development,Government-ALL,Government TRSS,Television Broadcasting,Computers General,Rochester,US,-77.6265,43.1548,
16699158,JREQ162653,Senior Software Engineer,Full_time,2022-09-15T17:03:48.283Z,Full_time,Technology Development,Government-ALL,Government TRSS,Television Broadcasting,Computers General,McLean,US,-77.2351,38.9528,
16686922,JREQ162906,Conga Order capture Specialist,Full_time,2022-09-14T10:03:07.31Z,Full_time,Technology Development,Enabling Functions-ALL,Commercial Excellence-ALL,Television Broadcasting,Computers General,Hyderabad,IN,78.4867,17.385,
16686632,JREQ162553,Tax Content Analyst,Full_time,2022-09-14T08:03:33.967Z,Full_time,Technology Development,Product-ALL,Product - Content,Television Broadcasting,Computers General,Hyderabad,IN,78.4867,17.385,
16671272,JREQ162916,Service Delivery Lead - SAP,Full_time,2022-09-12T12:05:43.063Z,Full_time,Business Operations,Operations & Technology-ALL,Operations Customer to Cash,Television Broadcasting,Operations General,Bengaluru,IN,77.5946,12.9716,
16670654,JREQ162946,"Senior Desk Editor, Bangalore Desk",Full_time,2022-09-12T10:08:12.097Z,Full_time,News & Editorial,Reuters - ALL,Reuters Editorial,Television Broadcasting,Editor,Bengaluru,IN,77.5946,12.9716,
16660064,JREQ162617,"Senior Editor, Practical Law: International Trade",Full_time,2022-09-09T12:06:33.75Z,Full_time,Publishing / Editorial,Product-ALL,Product - Research,Television Broadcasting,Publishing General,London,GB,-0.127758,51.5074,
16660252,JREQ162746,Desk Editor,Full_time,2022-09-09T09:15:07.14Z,Full_time,News & Editorial,Reuters - ALL,Reuters Editorial,Television Broadcasting,Editor,Bengaluru,IN,77.5946,12.9716,
16650787,JREQ162706,"Manager, Product Management",Full_time,2022-09-08T13:08:09.903Z,Full_time,Product Management,Product-ALL,Product - Accounting Tax and Practice,Television Broadcasting,Product Manager,London,GB,-0.127758,51.5074,
16651960,JREQ162837,Gerente de Canais,Full_time,2022-09-08T12:05:53.31Z,Full_time,Sales,Corporates-ALL,LatAm - Corporates,Television Broadcasting,Sales General,São Paulo,BR,-46.6333,-23.5505,
16649172,JREQ162315,"Business Development Manager, Risk - ANZ",Full_time,2022-09-07T22:04:47.11Z,Full_time,Sales,Corporates-ALL,Asia & Emerging Markets - Corporates,Television Broadcasting,Sales General,Pyrmont,AU,151.196,-33.8737,
16630302,JREQ161673,"Proposition ""Go to Market"" Manager - Content",Full_time,2022-09-05T00:04:05.097Z,Full_time,Product Management,Legal Professionals-ALL,Asia & Emerging Markets - Legal,Television Broadcasting,Product Manager,Pyrmont,AU,151.196,-33.8737,
